Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
192.600006,-0.250529,0.000126
192.650009,-0.251035,-0.010118
192.699997,-0.253080,-0.040894
192.750000,-0.257270,-0.083807
192.800003,-0.263646,-0.127519
192.850006,-0.272090,-0.168888
192.900009,-0.282554,-0.209273
192.949997,-0.295044,-0.249792
193.000000,-0.309556,-0.290250
193.050003,-0.326088,-0.330642
193.100006,-0.344611,-0.370459
193.150009,-0.365075,-0.409279
193.199997,-0.387333,-0.445163
193.250000,-0.411184,-0.477017
193.300003,-0.436327,-0.502859
193.350006,-0.461907,-0.511606
193.400009,-0.487168,-0.505211
193.449997,-0.511958,-0.495803
193.500000,-0.536356,-0.487963
193.550003,-0.560405,-0.480969
193.600006,-0.584066,-0.473222
193.650009,-0.607247,-0.463629
193.699997,-0.629907,-0.453193
193.750000,-0.652046,-0.442790
193.800003,-0.673632,-0.431714
193.850006,-0.694627,-0.419898
193.900009,-0.714996,-0.407389
193.949997,-0.734717,-0.394402
194.000000,-0.753764,-0.380940
194.050003,-0.772098,-0.366681
194.100006,-0.789690,-0.351847
194.150009,-0.806516,-0.336515
194.199997,-0.822578,-0.321251
194.250000,-0.837844,-0.305310
194.300003,-0.852280,-0.288731
194.350006,-0.865876,-0.271921
194.400009,-0.878600,-0.254476
194.449997,-0.890446,-0.236908
194.500000,-0.901392,-0.218937
194.550003,-0.911425,-0.200653
194.600006,-0.920529,-0.182077
194.650009,-0.928697,-0.163352
194.699997,-0.935929,-0.144652
194.750000,-0.942209,-0.125587
194.800003,-0.947526,-0.106353
194.850006,-0.951894,-0.087354
194.900009,-0.955295,-0.068027
194.949997,-0.957746,-0.049025
195.000000,-0.959228,-0.029638
195.050003,-0.959770,-0.010836
195.100006,-0.959376,0.007881
195.150009,-0.958054,0.026438
195.199997,-0.955813,0.044827
195.250000,-0.952653,0.063205
195.300003,-0.948595,0.081161
195.350006,-0.943670,0.098485
195.400009,-0.937916,0.115094
195.449997,-0.931320,0.131913
195.500000,-0.923903,0.148332
195.550003,-0.915708,0.163902
195.600006,-0.906751,0.179147
195.650009,-0.897057,0.193884
195.699997,-0.886662,0.207886
195.750000,-0.875599,0.221274
195.800003,-0.863889,0.234189
195.850006,-0.851578,0.246221
195.900009,-0.838704,0.257490
195.949997,-0.825287,0.268344
196.000000,-0.811347,0.278791
196.050003,-0.796939,0.288159
196.100006,-0.782129,0.296201
196.150009,-0.767003,0.302520
196.199997,-0.751519,0.309681
196.250000,-0.736241,0.305569
196.300003,-0.721985,0.285120
