Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
200.199997,1.669666,0.000057
200.250000,1.669664,-0.000041
200.300003,1.669664,-0.0000024
200.350006,1.669668,0.000074
200.400009,1.669668,0.000000
200.449997,1.669669,0.000033
200.500000,1.669667,-0.000041
200.550003,1.669666,-0.000019
200.600006,1.669667,0.0000048
200.650009,1.669667,0.000000
200.699997,1.669666,-0.000019
200.750000,1.669669,0.000062
200.800003,1.669656,-0.000257
200.850006,1.669660,0.000093
200.900009,1.669662,0.000026
200.949997,1.669777,0.002306
201.000000,1.670099,0.006444
201.050003,1.670615,0.010307
201.100006,1.671128,0.010259
201.150009,1.671462,0.006680
201.199997,1.671750,0.005772
201.250000,1.672058,0.006163
201.300003,1.672340,0.005639
201.350006,1.672585,0.004885
201.400009,1.672804,0.004382
201.449997,1.672991,0.003743
201.500000,1.673141,0.003011
201.550003,1.673278,0.002737
201.600006,1.673383,0.002098
201.650009,1.673455,0.001447
201.699997,1.673505,0.000985
201.750000,1.673528,0.000460
201.800003,1.673514,-0.000267
201.850006,1.673481,-0.000672
201.900009,1.673406,-0.001490
201.949997,1.673324,-0.001655
202.000000,1.673204,-0.002396
202.050003,1.673054,-0.002997
202.100006,1.672861,-0.003850
202.150009,1.672641,-0.004406
202.199997,1.672459,-0.003643
202.250000,1.672250,-0.004179
202.300003,1.672037,-0.004268
202.350006,1.671780,-0.005131
202.400009,1.671518,-0.005238
202.449997,1.671230,-0.005753
202.500000,1.670923,-0.006139
202.550003,1.670583,-0.006816
202.600006,1.670214,-0.007372
202.650009,1.669830,-0.007679
202.699997,1.669416,-0.008276
202.750000,1.668970,-0.008922
202.800003,1.668516,-0.009079
202.850006,1.668036,-0.009608
202.900009,1.667526,-0.010188
202.949997,1.666985,-0.010824
203.000000,1.666427,-0.011165
203.050003,1.665854,-0.011463
203.100006,1.665578,-0.005517
203.150009,1.665609,0.000627
203.199997,1.665792,0.003643
203.250000,1.665927,0.002713
203.300003,1.666106,0.003567
203.350006,1.666179,0.001469
203.400009,1.666166,-0.000250
203.449997,1.666148,-0.000362
203.500000,1.666154,0.000117
203.550003,1.666161,0.000136
203.600006,1.666159,-0.000048
203.650009,1.666158,-0.0000024
203.699997,1.666159,0.000014
203.750000,1.666154,-0.000095
203.800003,1.666148,-0.000131
203.850006,1.666160,0.000236
203.900009,1.666162,0.000038
203.949997,1.666161,-0.0000048
204.000000,1.666160,-0.000029
204.050003,1.666158,-0.000033
204.100006,1.666160,0.000038
204.150009,1.666162,0.000048
204.199997,1.666161,-0.000029
204.250000,1.666166,0.000105
204.300003,1.666164,-0.000038
204.350006,1.666150,-0.000291
204.400009,1.666150,0.0000095
204.449997,1.666165,0.000286
204.500000,1.666161,-0.000081
204.550003,1.666155,-0.000114
204.600006,1.666159,0.000086
204.650009,1.666157,-0.000038
204.699997,1.666155,-0.000043
204.750000,1.666161,0.000114
204.800003,1.666162,0.000017
204.850006,1.666163,0.000026
204.900009,1.666161,-0.000045
204.949997,1.666158,-0.000045
205.000000,1.666159,0.0000072
205.050003,1.666158,-0.0000095
205.100006,1.666154,-0.000083
205.150009,1.666153,-0.000026
205.199997,1.666156,0.000072
205.250000,1.666157,0.000017
205.300003,1.666153,-0.000079
205.350006,1.666159,0.000110
205.400009,1.666164,0.000112
205.449997,1.666166,0.000029
205.500000,1.666162,-0.000076
205.550003,1.666161,-0.000019
205.600006,1.666159,-0.000048
205.650009,1.666168,0.000186
205.699997,1.666165,-0.000052
205.750000,1.666158,-0.000141
205.800003,1.666156,-0.000052
205.850006,1.666153,-0.000055
205.900009,1.666153,0.0000048
205.949997,1.666160,0.000143
206.000000,1.666165,0.000088
206.050003,1.666159,-0.000112
206.100006,1.666155,-0.000088
206.150009,1.666156,0.000024
206.199997,1.666164,0.000155
206.250000,1.666164,0.000014
206.300003,1.666159,-0.000103
206.350006,1.666158,-0.000019
206.400009,1.666160,0.000029
206.449997,1.666158,-0.000038
206.500000,1.666159,0.000031
206.550003,1.666160,0.0000048
206.600006,1.666157,-0.000043
206.650009,1.666162,0.000083
206.699997,1.666163,0.000033
206.750000,1.666158,-0.000100
206.800003,1.666159,0.0000095
206.850006,1.666163,0.000086
206.900009,1.666159,-0.000081
206.949997,1.666161,0.000031
207.000000,1.666157,-0.000081
207.050003,1.666159,0.000057
207.100006,1.666162,0.000062
207.150009,1.666160,-0.000048
207.199997,1.666160,0.0000072
207.250000,1.666163,0.000057
207.300003,1.666158,-0.000112
207.350006,1.666162,0.000081
207.400009,1.666159,-0.000052
207.449997,1.666162,0.000052
207.500000,1.666162,0.000000
207.550003,1.666155,-0.000143
207.600006,1.666156,0.000024
207.650009,1.666161,0.000107
207.699997,1.666161,-0.0000048
207.750000,1.666160,-0.0000095
207.800003,1.666158,-0.000050
207.850006,1.666158,0.0000095
207.900009,1.666155,-0.000076
207.949997,1.666159,0.000086
208.000000,1.666161,0.000033
208.050003,1.666164,0.000064
208.100006,1.666162,-0.000026
208.150009,1.666161,-0.000024
208.199997,1.666164,0.000055
208.250000,1.666157,-0.000150
208.300003,1.666160,0.000072
208.350006,1.666154,-0.000122
208.400009,1.666153,-0.000024
208.449997,1.666013,-0.002794
208.500000,1.666133,0.002389
208.550003,1.666187,0.001092
208.600006,1.666172,-0.000300
208.650009,1.666152,-0.000398
208.699997,1.666154,0.000041
208.750000,1.666161,0.000129
208.800003,1.666158,-0.000045
208.850006,1.666156,-0.000045
208.900009,1.666157,0.000012
208.949997,1.666157,0.000000
209.000000,1.666159,0.000043
209.050003,1.666154,-0.000091
209.100006,1.666155,0.0000095
209.150009,1.666158,0.000057
209.199997,1.666155,-0.000052
209.250000,1.666163,0.000155
209.300003,1.666155,-0.000150
209.350006,1.666155,-0.0000024
209.400009,1.666160,0.000091
209.449997,1.666163,0.000062
209.500000,1.665906,-0.005128
209.550003,1.665607,-0.005991
209.600006,1.665514,-0.001862
209.650009,1.665778,0.005293
209.699997,1.666404,0.012505
209.750000,1.667058,0.013087
209.800003,1.667621,0.011268
209.850006,1.668146,0.010500
209.900009,1.668663,0.010331
209.949997,1.669157,0.009873
210.000000,1.669621,0.009279
