Graph
Time (Seconds),q1 (Degrees),q1_dot (Degrees/Seconds)
192.699997,81.389793,-2.112441
192.750000,81.189133,-4.013146
192.800003,80.887924,-6.024227
192.850006,80.487663,-8.005255
192.900009,79.988472,-9.983824
192.949997,79.391388,-11.941629
193.000000,78.696167,-13.904353
193.050003,77.900070,-15.921990
193.100006,77.002403,-17.953289
193.150009,76.003517,-19.977757
193.199997,74.905495,-21.960424
193.250000,73.707634,-23.957298
193.300003,72.426247,-25.627689
193.350006,71.112175,-26.281475
193.400009,69.790695,-26.429554
193.449997,68.468758,-26.438843
193.500000,67.145775,-26.459606
193.550003,65.819298,-26.529549
193.600006,64.491661,-26.552771
193.650009,63.165291,-26.527363
193.699997,61.840519,-26.495398
193.750000,60.516022,-26.489933
193.800003,59.191090,-26.498676
193.850006,57.866375,-26.494305
193.900009,56.541565,-26.496216
193.949997,55.216877,-26.493757
194.000000,53.891956,-26.498402
194.050003,52.567158,-26.495943
194.100006,51.242851,-26.486109
194.150009,49.918671,-26.483648
194.199997,48.593967,-26.494030
194.250000,47.268993,-26.499495
194.300003,45.943993,-26.500042
194.350006,44.618649,-26.506872
194.400009,43.294235,-26.488293
194.449997,41.969940,-26.485834
194.500000,40.645363,-26.491571
194.550003,39.321087,-26.485561
194.600006,37.996792,-26.485834
194.650009,36.671478,-26.506325
194.699997,35.347008,-26.489386
194.750000,34.022251,-26.495123
194.800003,32.697659,-26.491846
194.850006,31.372986,-26.493484
194.900009,30.048147,-26.496763
194.949997,28.723391,-26.495123
195.000000,27.398581,-26.496216
195.050003,26.074289,-26.485834
195.100006,24.750174,-26.482283
195.150009,23.426006,-26.483376
195.199997,22.101440,-26.491299
195.250000,20.777327,-26.482283
195.300003,19.457079,-26.404964
195.350006,18.129494,-26.551678
195.400009,16.795120,-26.687462
195.449997,15.474641,-26.409609
195.500000,14.157084,-26.351143
195.550003,12.831016,-26.521351
195.600006,11.509580,-26.428734
195.650009,10.184113,-26.509331
195.699997,8.857048,-26.541296
195.750000,7.526841,-26.604134
195.800003,6.205486,-26.427095
195.850006,4.885675,-26.396223
195.900009,3.558570,-26.542116
195.949997,2.234292,-26.485561
196.000000,0.911571,-26.454416
196.050003,-0.416491,-26.561239
196.100006,-1.743187,-26.533918
196.150009,-3.003644,-25.209135
196.199997,-4.176702,-23.461153
196.250000,-5.264519,-21.756338
196.300003,-6.242847,-19.566580
196.350006,-7.129543,-17.733904
196.400009,-7.917938,-15.767901
196.449997,-8.601571,-13.672673
196.500000,-9.187356,-11.715687
196.550003,-9.674034,-9.733566
196.600006,-10.059653,-7.712377
196.650009,-10.342805,-5.663046
196.699997,-10.530854,-3.760975
196.750000,-10.618758,-1.758091
196.800003,-10.636968,-0.364186
196.850006,-10.653360,-0.327849
196.900009,-10.660545,-0.143707
196.949997,-10.662827,-0.045626
197.000000,-10.664057,-0.024589
197.050003,-10.664807,-0.015026
197.100006,-10.664822,-0.000273
197.150009,-10.666079,-0.025135
197.199997,-10.665573,0.010109
197.250000,-10.665245,0.006557
197.300003,-10.665135,0.002186
197.350006,-10.664904,0.004645
197.400009,-10.664930,-0.000546
197.449997,-10.664766,0.003278
197.500000,-10.664794,-0.000546
197.550003,-10.664904,-0.002186
197.600006,-10.664889,0.000273
197.650009,-10.664576,0.006284
197.699997,-10.661694,0.057647
197.750000,-10.663796,-0.042074
197.800003,-10.664562,-0.015300
197.850006,-10.664835,-0.005464
197.900009,-10.664971,-0.002732
197.949997,-10.664889,0.001639
198.000000,-10.664930,-0.000820
198.050003,-10.664889,0.000820
198.100006,-10.665504,-0.012294
198.150009,-10.664958,0.010928
198.199997,-10.664822,0.002732
198.250000,-10.664671,0.003005
198.300003,-10.664507,0.003278
198.350006,-10.664357,0.003005
198.400009,-10.664807,-0.009016
198.449997,-10.665053,-0.004918
198.500000,-10.660259,0.095896
198.550003,-10.661748,-0.029780
198.600006,-10.663169,-0.028414
198.650009,-10.664548,-0.027594
198.699997,-10.664930,-0.007650
198.750000,-10.664439,0.009835
198.800003,-10.664863,-0.008469
198.850006,-10.664494,0.007377
198.900009,-10.664521,-0.000546
198.949997,-10.664807,-0.005737
199.000000,-10.664889,-0.001639
199.050003,-10.664644,0.004918
199.100006,-10.664302,0.006830
199.150009,-10.664848,-0.010928
199.199997,-10.664863,-0.000273
199.250000,-10.664971,-0.002186
199.300003,-10.665122,-0.003005
199.350006,-10.664986,0.002732
199.400009,-10.664180,0.016119
199.449997,-10.664630,-0.009016
199.500000,-10.664766,-0.002732
199.550003,-10.664930,-0.003278
199.600006,-10.664958,-0.000546
199.650009,-10.661311,0.072946
199.699997,-10.662813,-0.030053
199.750000,-10.664262,-0.028960
199.800003,-10.664699,-0.008743
199.850006,-10.664807,-0.002186
199.900009,-10.665040,-0.004645
199.949997,-10.664807,0.004645
200.000000,-10.664863,-0.001093
200.050003,-10.664603,0.005191
200.100006,-10.664835,-0.004645
200.150009,-10.664794,0.000820
200.199997,-10.664658,0.002732
200.250000,-10.664712,-0.001093
200.300003,-10.664807,-0.001912
200.350006,-10.664848,-0.000820
200.400009,-10.664685,0.003278
200.449997,-10.664889,-0.004098
200.500000,-10.664889,0.000000
200.550003,-10.665081,-0.003825
200.600006,-10.665094,-0.000273
200.650009,-10.664958,0.002732
200.699997,-10.664930,0.000546
200.750000,-10.664904,0.000546
200.800003,-10.665422,-0.010382
200.850006,-10.664685,0.014753
200.900009,-10.664671,0.000273
200.949997,-10.696445,-0.635481
201.000000,-10.801589,-2.102879
201.050003,-11.004773,-4.063689
201.100006,-11.305425,-6.013025
201.150009,-11.703748,-7.966460
201.199997,-12.199947,-9.923992
201.250000,-12.796264,-11.926330
201.300003,-13.494296,-13.960633
201.350006,-14.291120,-15.936471
201.400009,-15.194139,-18.060387
201.449997,-16.191086,-19.938961
201.500000,-17.292633,-22.030912
201.550003,-18.484924,-23.845829
201.600006,-19.780611,-25.913738
201.650009,-21.167795,-27.743683
201.699997,-22.664234,-29.928797
201.750000,-24.264603,-32.007359
201.800003,-25.959309,-33.894131
201.850006,-27.751715,-35.848110
201.900009,-29.654879,-38.063278
201.949997,-31.647860,-39.859619
202.000000,-33.748196,-42.006756
202.050003,-35.951698,-44.070019
202.100006,-38.199215,-44.950294
202.150009,-40.402893,-44.073570
202.199997,-42.546108,-42.864357
202.250000,-44.592216,-40.922123
202.300003,-46.531445,-38.784546
202.350006,-48.371742,-36.805977
202.400009,-50.104492,-34.655014
202.449997,-51.729546,-32.501045
202.500000,-53.276623,-30.941576
202.550003,-54.719433,-28.856184
202.600006,-56.064186,-26.895100
202.650009,-57.309059,-24.897406
202.699997,-58.453033,-22.879496
