Graph_yaw
Time (Seconds),yaw (Degrees),yaw_dot (Degrees/Seconds)
201.199997,0.000000,0.000000
201.250000,0.000000,0.000000
201.300003,0.000000,0.000000
201.350006,0.000000,0.000000
201.400009,0.000000,0.000000
201.449997,0.000000,0.000000
201.500000,0.000000,0.000000
201.550003,0.000000,0.000000
201.600006,-131.121399,-2622.267822
201.650009,-133.799194,-53.552792
201.699997,-137.045746,-64.946640
201.750000,-138.276993,-24.623516
201.800003,-140.238983,-39.237316
201.850006,-141.930573,-33.829773
201.900009,-144.269989,-46.785580
201.949997,-145.455048,-23.706818
202.000000,-146.945206,-29.801575
202.050003,-147.919037,-19.475233
202.100006,-149.312012,-27.857822
202.150009,-150.664047,-27.039070
202.199997,-151.182434,-10.370213
202.250000,-151.930359,-14.957747
202.300003,-152.670242,-14.796839
202.350006,-153.765671,-21.907179
202.400009,-155.156540,-27.815750
202.449997,-156.626312,-29.402401
202.500000,-157.978195,-27.036064
202.550003,-158.540436,-11.244264
202.600006,-159.327621,-15.742625
202.650009,-159.839478,-10.236463
202.699997,-160.557648,-14.366849
202.750000,-161.362076,-16.087666
202.800003,-162.165756,-16.072639
202.850006,-162.772141,-12.126944
202.900009,-163.485413,-14.264663
202.949997,-164.371964,-17.735228
203.000000,-164.924362,-11.047294
203.050003,-165.510529,-11.722621
203.100006,-165.894272,-7.674479
203.150009,-165.667542,4.534422
203.199997,-164.983307,13.688036
203.250000,-164.784760,3.970556
203.300003,-165.146713,-7.238466
203.350006,-165.369858,-4.462574
203.400009,-165.361710,0.162822
203.449997,-165.185379,3.527425
203.500000,-165.277466,-1.841580
203.550003,-165.337021,-1.191112
203.600006,-165.360245,-0.464425
203.650009,-165.424377,-1.282631
203.699997,-165.352615,1.435783
203.750000,-165.393753,-0.822851
203.800003,-165.461777,-1.360217
203.850006,-165.416809,0.899071
203.900009,-165.402283,0.290675
203.949997,-165.341629,1.213338
204.000000,-165.366913,-0.505676
204.050003,-165.413879,-0.939230
204.100006,-165.369080,0.896066
204.150009,-165.421631,-1.051239
204.199997,-165.394821,0.536437
204.250000,-165.318756,1.521127
204.300003,-165.431305,-2.250820
204.350006,-165.505569,-1.485066
204.400009,-165.430420,1.502823
204.449997,-165.343246,1.744037
204.500000,-165.395554,-1.046048
204.550003,-165.388382,0.143152
204.600006,-165.349579,0.776135
204.650009,-165.331573,0.360066
204.699997,-165.378128,-0.931319
204.750000,-165.330872,0.944967
204.800003,-165.368698,-0.756466
204.850006,-165.380890,-0.243686
204.900009,-165.423157,-0.845253
204.949997,-165.360565,1.252143
205.000000,-165.380920,-0.407054
205.050003,-165.423431,-0.850170
205.100006,-165.448364,-0.498573
205.150009,-165.447342,0.020216
205.199997,-165.339890,2.149576
205.250000,-165.404770,-1.297384
205.300003,-165.434692,-0.598561
205.350006,-165.382217,1.049599
205.400009,-165.330734,1.029657
205.449997,-165.367538,-0.736474
205.500000,-165.355652,0.237949
205.550003,-165.409851,-1.084021
205.600006,-165.359726,1.002337
205.650009,-165.322906,0.736523
205.699997,-165.363129,-0.804793
205.750000,-165.358826,0.086055
205.800003,-165.462448,-2.072153
205.850006,-165.461807,0.012567
205.900009,-165.442627,0.383560
205.949997,-165.380386,1.245311
206.000000,-165.175461,4.098136
206.050003,-164.993805,3.632893
206.100006,-165.206467,-4.253036
206.150009,-165.323502,-2.340426
206.199997,-165.357315,-0.676354
206.250000,-165.338043,0.385472
206.300003,-165.413315,-1.505555
206.350006,-165.388809,0.490104
206.400009,-165.425766,-0.738981
206.449997,-165.375580,1.004010
206.500000,-165.348724,0.537093
206.550003,-165.345383,0.066659
206.600006,-165.408142,-1.255039
206.650009,-165.383789,0.487099
206.699997,-165.345993,0.755877
206.750000,-165.409286,-1.265693
206.800003,-165.401489,0.155992
206.850006,-165.326263,1.504462
206.900009,-165.405457,-1.583688
206.949997,-165.402390,0.061213
207.000000,-165.316330,1.721103
207.050003,-165.311920,0.088241
207.100006,-165.372482,-1.211328
207.150009,-165.222977,2.990074
207.199997,-165.248383,-0.508290
207.250000,-165.314941,-1.330986
207.300003,-165.349472,-0.690627
207.350006,-165.380707,-0.624788
207.400009,-165.176331,4.087482
207.449997,-165.156830,0.389962
207.500000,-165.358871,-4.040493
207.550003,-165.414368,-1.109975
207.600006,-165.370712,0.873118
207.650009,-165.343979,0.534635
207.699997,-165.302139,0.837039
207.750000,-165.369461,-1.346285
207.800003,-165.391174,-0.434374
207.850006,-165.397964,-0.135776
207.900009,-165.437653,-0.793620
207.949997,-165.368454,1.384134
208.000000,-165.470032,-2.031447
208.050003,-165.407547,1.249575
208.100006,-165.424103,-0.330834
208.150009,-165.369354,1.094676
208.199997,-165.379990,-0.212607
208.250000,-165.400742,-0.414977
208.300003,-165.384079,0.333293
208.350006,-165.435608,-1.030749
208.400009,-165.409302,0.526166
208.449997,-165.425018,-0.314265
208.500000,-165.615097,-3.801451
208.550003,-165.247238,7.356758
208.600006,-165.339310,-1.841307
208.650009,-165.536514,-3.944057
208.699997,-165.406052,2.610043
208.750000,-165.278336,2.554062
208.800003,-165.337891,-1.190839
208.850006,-165.454300,-2.328133
208.900009,-165.451340,0.059282
208.949997,-165.423248,0.561852
209.000000,-165.395248,0.560041
209.050003,-165.489304,-1.880919
209.100006,-165.537231,-0.958627
209.150009,-165.481476,1.115165
209.199997,-165.481461,0.000273
209.250000,-165.406708,1.494901
209.300003,-165.528549,-2.436589
209.350006,-165.482040,0.929942
209.400009,-165.394943,1.741865
209.449997,-165.426773,-0.636729
209.500000,-166.248093,-16.425329
209.550003,-167.238953,-19.816175
209.600006,-168.230057,-19.820820
209.650009,-168.972778,-14.853389
209.699997,-169.151382,-3.573061
209.750000,-169.180756,-0.587360
209.800003,-169.660049,-9.585449
209.850006,-170.035919,-7.516848
209.900009,-170.330170,-5.884532
209.949997,-170.669388,-6.785947
210.000000,-170.934372,-5.299357
210.050003,-171.336990,-8.052028
210.100006,-171.898224,-11.224049
210.150009,-172.486755,-11.769884
210.199997,-172.864044,-7.547562
210.250000,-172.617920,4.922080
210.300003,-172.930176,-6.244597
210.350006,-172.913803,0.327283
210.400009,-172.751587,3.244142
210.449997,-172.661331,1.805523
210.500000,-172.437820,4.469949
210.550003,-172.658524,-4.413672
210.600006,-173.258560,-11.999910
210.650009,-173.852814,-11.884350
210.699997,-171.321991,50.628708
210.750000,-168.911972,48.197433
210.800003,0.000000,3378.033203
210.850006,0.000000,0.000000
210.900009,0.000000,0.000000
210.949997,0.000000,0.000000
211.000000,0.000000,0.000000
211.050003,0.000000,0.000000
211.100006,0.000000,0.000000
211.150009,0.000000,0.000000
211.199997,0.000000,0.000000
211.250000,0.000000,0.000000
211.300003,0.000000,0.000000
211.350006,0.000000,0.000000
211.400009,0.000000,0.000000
211.449997,0.000000,0.000000
211.500000,0.000000,0.000000
211.550003,0.000000,0.000000
211.600006,0.000000,0.000000
211.650009,0.000000,0.000000
211.699997,0.000000,0.000000
211.750000,0.000000,0.000000
211.800003,0.000000,0.000000
211.850006,0.000000,0.000000
211.900009,0.000000,0.000000
211.949997,0.000000,0.000000
212.000000,0.000000,0.000000
212.050003,0.000000,0.000000
212.100006,0.000000,0.000000
212.150009,0.000000,0.000000
212.199997,0.000000,0.000000
212.250000,0.000000,0.000000
212.300003,0.000000,0.000000
212.350006,0.000000,0.000000
212.400009,0.000000,0.000000
212.449997,0.000000,0.000000
212.500000,0.000000,0.000000
212.550003,0.000000,0.000000
212.600006,0.000000,0.000000
212.650009,0.000000,0.000000
212.699997,0.000000,0.000000
212.750000,0.000000,0.000000
212.800003,0.000000,0.000000
212.850006,0.000000,0.000000
212.900009,0.000000,0.000000
212.949997,0.000000,0.000000
213.000000,0.000000,0.000000
213.050003,0.000000,0.000000
213.100006,0.000000,0.000000
213.150009,0.000000,0.000000
213.199997,0.000000,0.000000
213.250000,0.000000,0.000000
213.300003,0.000000,0.000000
213.350006,0.000000,0.000000
213.400009,0.000000,0.000000
213.449997,0.000000,0.000000
213.500000,0.000000,0.000000
213.550003,0.000000,0.000000
213.600006,0.000000,0.000000
213.650009,0.000000,0.000000
213.699997,0.000000,0.000000
213.750000,0.000000,0.000000
213.800003,0.000000,0.000000
213.850006,0.000000,0.000000
213.900009,0.000000,0.000000
213.949997,0.000000,0.000000
214.000000,0.000000,0.000000
214.050003,0.000000,0.000000
214.100006,0.000000,0.000000
214.150009,0.000000,0.000000
214.199997,0.000000,0.000000
214.250000,0.000000,0.000000
214.300003,0.000000,0.000000
214.350006,0.000000,0.000000
214.400009,0.000000,0.000000
214.449997,0.000000,0.000000
214.500000,0.000000,0.000000
214.550003,0.000000,0.000000
214.600006,0.000000,0.000000
214.650009,0.000000,0.000000
214.699997,0.000000,0.000000
214.750000,0.000000,0.000000
214.800003,0.000000,0.000000
214.850006,0.000000,0.000000
214.900009,0.000000,0.000000
214.949997,0.000000,0.000000
215.000000,0.000000,0.000000
215.050003,0.000000,0.000000
215.100006,0.000000,0.000000
215.150009,0.000000,0.000000
215.199997,0.000000,0.000000
215.250000,0.000000,0.000000
215.300003,0.000000,0.000000
215.350006,0.000000,0.000000
215.400009,0.000000,0.000000
215.449997,0.000000,0.000000
215.500000,0.000000,0.000000
215.550003,0.000000,0.000000
215.600006,0.000000,0.000000
215.650009,0.000000,0.000000
215.699997,0.000000,0.000000
215.750000,0.000000,0.000000
215.800003,0.000000,0.000000
215.850006,0.000000,0.000000
215.900009,0.000000,0.000000
215.949997,0.000000,0.000000
216.000000,0.000000,0.000000
216.050003,0.000000,0.000000
216.100006,0.000000,0.000000
216.150009,0.000000,0.000000
216.199997,0.000000,0.000000
216.250000,0.000000,0.000000
216.300003,0.000000,0.000000
216.350006,0.000000,0.000000
216.400009,0.000000,0.000000
216.449997,0.000000,0.000000
216.500000,0.000000,0.000000
216.550003,0.000000,0.000000
216.600006,0.000000,0.000000
216.650009,0.000000,0.000000
216.699997,0.000000,0.000000
216.750000,0.000000,0.000000
216.800003,0.000000,0.000000
216.850006,0.000000,0.000000
216.900009,0.000000,0.000000
216.949997,0.000000,0.000000
217.000000,0.000000,0.000000
217.050003,0.000000,0.000000
217.100006,0.000000,0.000000
217.150009,0.000000,0.000000
217.199997,0.000000,0.000000
217.250000,0.000000,0.000000
217.300003,0.000000,0.000000
217.350006,0.000000,0.000000
217.400009,0.000000,0.000000
217.449997,0.000000,0.000000
217.500000,0.000000,0.000000
217.550003,0.000000,0.000000
