Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
183.199997,179.895721,0.001640
183.250000,179.895630,-0.001912
183.300003,179.895706,0.001639
183.350006,179.895752,0.000820
183.400009,179.895630,-0.002459
183.449997,179.895416,-0.004099
183.500000,179.895401,-0.000546
183.550003,179.895477,0.001639
183.600006,179.895462,-0.000273
183.650009,179.895584,0.002459
183.699997,179.895554,-0.000547
183.750000,179.895447,-0.002186
183.800003,179.895569,0.002459
183.850006,179.895676,0.001912
183.900009,179.895813,0.002732
183.949997,179.895676,-0.002459
184.000000,179.895584,-0.001912
184.050003,179.895538,-0.001093
184.100006,179.895401,-0.002732
184.150009,179.895462,0.001366
184.199997,179.895477,0.000273
184.250000,179.895508,0.000546
184.300003,179.895432,-0.001366
184.350006,179.895203,-0.004644
184.400009,179.895691,0.009835
184.449997,179.896255,0.011204
184.500000,179.896317,0.001093
184.550003,179.896042,-0.005464
184.600006,179.896042,0.000000
184.650009,179.895355,-0.013660
184.699997,179.895325,-0.000547
184.750000,179.893463,-0.037427
184.800003,179.891190,-0.045350
184.850006,179.889969,-0.024314
184.900009,179.890823,0.016938
184.949997,179.893066,0.045090
185.000000,179.895752,0.053545
185.050003,179.899124,0.067478
185.100006,179.901443,0.046442
185.150009,179.903824,0.047535
185.199997,179.905304,0.029514
185.250000,179.907104,0.036061
185.300003,179.908920,0.036334
185.350006,179.910080,0.023221
185.400009,179.910156,0.001639
185.449997,179.908936,-0.024595
185.500000,179.907349,-0.031690
185.550003,179.904922,-0.048628
185.600006,179.902298,-0.052453
185.650009,179.900818,-0.029505
185.699997,179.897720,-0.062033
185.750000,179.893265,-0.089060
185.800003,179.891006,-0.045076
185.850006,179.891388,0.007649
185.900009,179.893311,0.038247
185.949997,179.895294,0.039625
186.000000,179.895172,-0.002186
186.050003,179.894852,-0.006557
186.100006,179.894608,-0.004917
186.150009,179.894409,-0.003825
186.199997,179.894562,0.003006
186.250000,179.894547,-0.000273
186.300003,179.894547,0.000000
186.350006,179.894638,0.001912
186.400009,179.894516,-0.002459
186.449997,179.894394,-0.002459
186.500000,179.894440,0.000820
186.550003,179.894531,0.001912
186.600006,179.894577,0.000820
186.650009,179.894577,0.000000
186.699997,179.894440,-0.002733
186.750000,179.894333,-0.002186
186.800003,179.894241,-0.001912
186.850006,179.894211,-0.000546
186.900009,179.894089,-0.002459
186.949997,179.894241,0.003279
187.000000,179.894424,0.003551
187.050003,179.894531,0.002186
187.100006,179.894424,-0.002186
187.150009,179.894485,0.001093
187.199997,179.894623,0.002733
187.250000,179.894608,-0.000273
187.300003,179.894394,-0.004098
187.350006,179.894272,-0.002459
187.400009,179.894333,0.001093
187.449997,179.894165,-0.003279
